id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
138,2,1,825350353600274432,"@cris7ian Con ánimo de ofender, no es «pensar» sino «creer», y sin siquiera asidero empírico pues no saben producir ni quieren aprender.",Twitter for Android,false,false,,,,,,,1,0,,false,es,2017-01-28 14:30:33 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000
140,2,1,825447068512768000,"RT @BadAstronomer: 13) Now, read this chilling thread: https://t.co/icVvWDRwFN",Twitter for Android,true,false,,,,,,,0,223,,false,en,2017-01-28 20:54:51 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:54 +0000
143,2,1,825118000881729536,@MeDesidium Mi chentido pésame,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-27 23:07:16 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
139,2,1,825341782477197312,In Mother Russia ignorant violence domesticate you. https://t.co/riynraCxSI,Twitter for Android,false,false,,,,,,,2,3,,false,en,2017-01-28 13:56:29 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:54 +0000
142,2,1,825119254659862528,@MeDesidium Su palabra vaya «alante»,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-27 23:12:14 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
141,2,1,825118650822774785,@MeDesidium Marinar las penas en alcohol...,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-27 23:09:50 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
137,2,1,825447278106259456,@CesvrBevts En la página de cada curso están los exámenes resueltos.,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-28 20:55:41 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000
145,2,1,825075452515590144,"Y eso, niños y niñas, se llama «diplomacia».",Twitter for Android,false,false,,,,,,,1,0,,false,es,2017-01-27 20:18:11 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
147,2,1,825054245032493056,En forma de afiche. https://t.co/RzXbDeCS8W,Twitter for Android,false,false,,,,,,,0,0,,false,es,2017-01-27 18:53:55 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
151,2,1,824972810741243904,"Corazón Delator, Gustavo Cerati (Sinfónico) #ost #ci3725",Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-27 13:30:19 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
155,2,1,824702902287667200,"Hungarian Rhapsody N° 2, Roby Lakatos #ost #ci3725",Twitter for Android,false,false,,,,,,,0,0,,false,in,2017-01-26 19:37:48 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
156,2,1,824642517283004416,RT @NASA: We're honoring the Apollo 1 crew at 10am ET today. This year is the 50th anniversary of the tragedy. Watch live: https://t.co/oJK…,Twitter Web Client,true,false,,,,,,,0,1855,,false,en,2017-01-26 15:37:51 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
159,2,1,824619982051045376,@TrumpDBA @mgomezch Make Oracle «el caro» again!,Twitter Web Client,false,false,,,,,,,0,0,,false,en,2017-01-26 14:08:19 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
161,2,1,824618583242051584,@magy509 «barbacuá» como los «pudientes»...,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-26 14:02:45 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
144,2,1,825109177651560449,RT @StephenAtHome: If I were the architect for Trump's Wall I’d build a secret exhaust port the size of a womp rat so the rebels could save…,Twitter for Android,true,false,,,,,,,0,32075,,false,en,2017-01-27 22:32:12 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
148,2,1,825098579106742273,@mgomezch perl -c dice$# is no longer supported at - line 1.,Twitter Web Client,false,false,,,,,,,3,0,,false,en,2017-01-27 21:50:05 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
153,2,1,824971168859975680,"Las respuestas ocupan una hoja carta por ambos lados. Las escribí en 21 minutos. Practiquen, practiquen, practiquen y practiquen. #ci3725",Twitter Web Client,false,false,,,,,,,1,0,,false,es,2017-01-27 13:23:48 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
154,2,1,824932805574529024,"She's always a woman, Billy Joel #ost #ci3725",Twitter for Android,false,false,,,,,,,0,0,,false,en,2017-01-27 10:51:22 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
160,2,1,824671103171825666,"El ((a, b) -> c) -> a -> b -> c quedó brutal.",Twitter Web Client,false,false,,,,,,,3,0,,false,es,2017-01-26 17:31:27 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
164,2,1,824614368704954368,RT @TrumpDBA: I've just signed an executive order eliminating foreign keys from databases forever. Use AMERICAN KEYS instead! ACTION!,Twitter Web Client,true,false,,,,,,,0,5547,,false,en,2017-01-26 13:46:00 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
157,2,1,824626585680703488,Preparar el examen de #ci3725 merece un mate con cáscara de naranja...,Twitter Web Client,false,false,,,,,,,2,0,,false,es,2017-01-26 14:34:33 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
166,2,1,824320014828371982,"Hoy discutimos Propiedades de Clausura y Lema de Bombeo para Lenguajes Regulares. Lean 6.4 a 6.6. Ejercicios 6.11, 6.12 y 6.14 #ci3725",Twitter for Android,false,false,,,,,,,1,0,,false,es,2017-01-25 18:16:21 +0000,2017-02-14 23:28:55 +0000,2017-02-14 23:28:55 +0000
