id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at,
84,2,1,827878701522121000,0,Twitter for Android,false,false,,,,,,,0,0,,false,en,2017-02-04 13:57:18 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
86,2,1,827874049946681000,0,Twitter for Android,false,false,,,,,,,0,0,,false,en,2017-02-04 13:38:49 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
89,2,1,827680396678722000,0,Twitter Web Client,false,false,,,,,,,2,0,,false,es,2017-02-04 00:49:18 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
93,2,1,827593034279830000,0,Twitter for Android,true,false,,,,,,,0,10,,false,en,2017-02-03 19:02:09 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
95,2,1,827687982975037000,0,Twitter for Android,true,false,,,,,,,0,2,,false,en,2017-02-04 01:19:27 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
97,2,1,827520872818811000,0,Twitter Web Client,false,false,,,,,,,1,1,,false,es,2017-02-03 14:15:25 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
100,2,1,827494840938144000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-03 12:31:58 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
102,2,1,827475285306114000,0,Twitter for Android,false,false,,,,,,,0,0,,false,lt,2017-02-03 11:14:16 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
104,2,1,827279947030950000,0,Twitter for Android,false,false,,,,,,,4,0,,false,es,2017-02-02 22:18:04 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
112,2,1,826845360337408000,0,Twitter Web Client,false,false,,,,,,,0,1,,false,es,2017-02-01 17:31:10 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
114,2,1,826786646389559000,0,Twitter Web Client,true,false,,,,,,,0,93,,false,es,2017-02-01 13:37:52 +0000,2017-02-14 23:28:54 +0000,2017-02-14 23:28:54 +0000,
