,text
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,-1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,-2
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,-1
44,0
45,1
46,1
47,-1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,-1
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,2
78,1
79,0
80,0
81,-1
82,1
83,-1
84,0
85,0
86,-1
87,0
88,0
89,-1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,2
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,-1
127,0
128,0
129,0
130,0
131,-1
132,1
133,-2
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,-1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,-1
157,1
158,-1
159,-2
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,-1
170,-1
171,0
172,2
173,0
174,2
175,1
176,1
177,0
178,-1
179,-1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,-1
194,0
195,-1
196,-2
197,0
198,0
199,0
200,0
201,-1
202,0
203,-2
204,0
205,0
206,0
207,0
208,-1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,-1
218,0
219,-1
220,0
221,0
222,2
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,-1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,0
248,-1
249,0
250,0
251,0
252,-1
253,0
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,-1
265,-1
266,0
267,0
268,0
269,-1
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,-1
279,0
280,1
281,-2
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,1
290,0
291,-1
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,-2
304,0
305,1
306,1
307,0
308,-1
309,-1
310,2
311,-1
312,0
313,0
314,-1
315,0
316,-1
317,0
318,0
319,0
320,0
321,0
322,-2
323,-2
324,-1
325,-1
326,-1
327,-2
328,0
329,-1
330,0
331,0
332,0
333,1
334,0
335,0
336,-1
337,0
338,0
339,-1
340,0
341,-1
342,-1
343,0
344,0
345,0
346,1
347,1
348,0
349,2
350,0
351,0
352,-1
353,1
354,1
355,-1
356,1
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,-1
372,1
373,0
374,-1
375,-1
376,0
377,0
378,-1
379,0
380,0
381,0
382,-1
383,-1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,-1
409,0
410,0
411,0
412,1
413,0
414,0
415,-1
416,1
417,0
418,0
419,0
420,-1
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,2
432,-1
433,0
434,1
435,0
436,0
